127.0.0.1 - - [27/Apr/2024:09:09:29 +0545] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:30 +0545] "GET /PixlePrinter/ HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:30 +0545] "GET /PixlePrinter/Images/Product3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:30 +0545] "GET /PixlePrinter/Images/Product4.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:30 +0545] "GET /PixlePrinter/Images/Untitled%20design.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:34 +0545] "GET /PixlePrinter/pages/Login.jsp HTTP/1.1" 200 1641
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:34 +0545] "GET /PixlePrinter/js/Login.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:34 +0545] "GET /PixlePrinter/css/Login.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:34 +0545] "GET /PixlePrinter/Images/LoginImage.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:42 +0545] "POST /PixlePrinter/UserLogin HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:42 +0545] "GET /PixlePrinter/pages/Index.jsp HTTP/1.1" 200 4491
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:42 +0545] "GET /PixlePrinter/Images/Untitled%20design.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:42 +0545] "GET /PixlePrinter/Images/Product3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:42 +0545] "GET /PixlePrinter/Images/Product4.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:45 +0545] "GET /PixlePrinter/LogoutServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:45 +0545] "GET /PixlePrinter/pages/Index.jsp HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:45 +0545] "GET /PixlePrinter/Images/Untitled%20design.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:45 +0545] "GET /PixlePrinter/Images/Product3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:45 +0545] "GET /PixlePrinter/Images/Product4.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:47 +0545] "GET /PixlePrinter/pages/Index.jsp HTTP/1.1" 200 4492
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:47 +0545] "GET /PixlePrinter/Images/Untitled%20design.png HTTP/1.1" 404 800
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:47 +0545] "GET /PixlePrinter/Images/Product3.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:47 +0545] "GET /PixlePrinter/Images/Product4.jpg HTTP/1.1" 404 791
0:0:0:0:0:0:0:1 - - [27/Apr/2024:09:09:48 +0545] "GET /PixlePrinter/pages/Index.jsp HTTP/1.1" 200 4492
